lbs,delta_c,type,ft,kias,percent,lb/hr
weight,isa,cruise,alt,speed,trq,fuel_flow
65200,10,LR,10000,233,48.7,2231
65200,10,LR,14000,232,51.4,2165
65200,10,LR,18000,218,49,1991
65200,10,LR,22000,213,50.4,1959
65200,10,LR,25000,209,51.6,1946
65200,10,INT,6000,238,29.7,2401
65200,10,INT,10000,255,61,2564
65200,10,INT,14000,250,61.9,2475
65200,10,INT,18000,235,57.4,2250
65200,10,INT,22000,224,55.4,2108
65200,10,INT,25000,212,53.1,1998
65200,10,HS,6000,245,51.1,2440
65200,10,HS,10000,282,75.6,2995
65200,10,HS,14000,274,75,2878
65200,10,HS,18000,254,66.9,2536
65200,10,HS,22000,235,60.5,2276
65200,10,HS,25000,215,53.9,2027
